X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
-9106635.6597,3015393.0375,166960,2000/01/03 00:00:00+00,,,0.5,Naples Pier,26.13163,-81.8063,Karenia brevis,8000,HABW000103-801
-9107815.6463,3024778.6725,166961,2000/01/03 00:00:00+00,,,0.5,Seagate  ,26.2073,-81.8169,Karenia brevis,333,HABW000103-802
-9108580.4112,3030543.0625,166962,2000/01/03 00:00:00+00,,,0.5,Vanderbilt Beach ,26.25375,-81.82377,Karenia brevis,0,HABW000103-803
-9630482.9195,3553315.2852,166963,2000/01/04 00:00:00+00,10:10,GMT,0.5,East Pass (Choctawhatchee Bay) ,30.3864,-86.5121,Karenia brevis,2330,HABW000104-801
-9683816.0875,3553405.6178,166964,2000/01/04 00:00:00+00,08:46,GMT,0.5,"Santa Rosa Sound; Woodlawn Park",30.3871,-86.9912,Karenia brevis,0,HABW000104-802
-9669912.2831,3555096.2467,166965,2000/01/04 00:00:00+00,09:00,GMT,0.5,"Navarre Park; Santa Rosa Sound",30.4002,-86.8663,Karenia brevis,0,HABW000104-803
-9640401.4861,3555251.1248,166966,2000/01/04 00:00:00+00,09:46,GMT,0.5,"Brooks Bridge; North side",30.4014,-86.6012,Karenia brevis,0,HABW000104-804
-9644408.9878,3555780.306,166967,2000/01/04 00:00:00+00,09:35,GMT,0.5,"Liza Jackson Park; Santa Rosa Sound",30.4055,-86.6372,Karenia brevis,333,HABW000104-805
-9641102.7989,3558671.8349,166968,2000/01/04 00:00:00+00,10:30,GMT,0.5,"Cinco Bayou; North end of 85 bridge",30.4279,-86.6075,Karenia brevis,0,HABW000104-806
-9639399.6107,3560272.7882,166969,2000/01/04 00:00:00+00,10:40,GMT,0.5,Garnier Bayou,30.4403,-86.5922,Karenia brevis,0,HABW000104-807
-9191561.2992,3222397.468,166970,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 32,27.789,-82.5692,Karenia brevis,0,HABW000104-808
-9186173.4359,3224725.5505,166971,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 13,27.8075,-82.5208,Karenia brevis,0,HABW000104-809
-9193231.0916,3230742.6487,166972,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 68,27.8553,-82.5842,Karenia brevis,0,HABW000104-810
-9189791.3193,3230805.6031,166973,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 36,27.8558,-82.5533,Karenia brevis,0,HABW000104-811
-9188778.3119,3234898.2603,166974,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 51,27.8883,-82.5442,Karenia brevis,0,HABW000104-812
-9194121.6475,3236409.7057,166975,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 67,27.9003,-82.5922,Karenia brevis,0,HABW000104-813
-9187865.4921,3238614.1975,166976,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 50,27.9178,-82.536,Karenia brevis,0,HABW000104-814
-9198964.0453,3239244.1178,166977,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 66,27.9228,-82.6357,Karenia brevis,0,HABW000104-815
-9193130.904,3240365.448,166978,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 40,27.9317,-82.5833,Karenia brevis,0,HABW000104-816
-9191093.7573,3241096.2523,166979,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 41,27.9375,-82.565,Karenia brevis,0,HABW000104-817
-9204975.2978,3241310.461,166980,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 65,27.9392,-82.6897,Karenia brevis,0,HABW000104-818
-9190114.1458,3244902.1086,166981,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 61,27.9677,-82.5562,Karenia brevis,0,HABW000104-819
-9192730.1539,3244939.9205,166982,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 63,27.968,-82.5797,Karenia brevis,0,HABW000104-820
-9191683.7506,3245103.7731,166983,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 62,27.9693,-82.5703,Karenia brevis,0,HABW000104-821
-9197082.746,3245192.0022,166984,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 47,27.97,-82.6188,Karenia brevis,0,HABW000104-822
-9203194.186,3245343.2535,166985,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 64,27.9712,-82.6737,Karenia brevis,0,HABW000104-823
-9198719.1425,3247246.6429,166986,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 60,27.9863,-82.6335,Karenia brevis,0,HABW000104-824
-9201090.2476,3247334.8859,166987,2000/01/04 00:00:00+00,,,0.5,HCEPC Station Number 46,27.987,-82.6548,Karenia brevis,0,HABW000104-825
-9109496.5706,3040880.0613,166988,2000/01/04 00:00:00+00,12:05,GMT,0.5,Imperial River,26.337,-81.832,Karenia brevis,0,HABW000104-826
-9110632.0294,3042370.6917,166989,2000/01/04 00:00:00+00,11:45,GMT,0.5,Little Hickory Island,26.349,-81.8422,Karenia brevis,0,HABW000104-827
-9111244.2866,3042730.9506,166990,2000/01/04 00:00:00+00,11:43,GMT,0.5,"Hogue Channel; inside",26.3519,-81.8477,Karenia brevis,140000,HABW000104-828
-9112056.9189,3043613.0019,166991,2000/01/04 00:00:00+00,11:32,GMT,0.5,Broadway Channel,26.359,-81.855,Karenia brevis,7000,HABW000104-829
-9113726.7112,3044979.6671,166992,2000/01/04 00:00:00+00,11:25,GMT,0.5,"New Pass; Lee County",26.37,-81.87,Karenia brevis,0,HABW000104-830
-9112446.5371,3046184.9253,166993,2000/01/04 00:00:00+00,11:30,GMT,0.5,"Big Hickory isl; inside",26.3797,-81.8585,Karenia brevis,99700,HABW000104-831
-9115619.1426,3047092.042,166994,2000/01/04 00:00:00+00,11:15,GMT,0.5,"Big Carlos Pass; 600 m West",26.387,-81.887,Karenia brevis,0,HABW000104-832
-9114138.5934,3049639.7312,166995,2000/01/04 00:00:00+00,11:15,GMT,0.5,"Big Carlos Pass; mkr 11",26.4075,-81.8737,Karenia brevis,0,HABW000104-833
-9245439.9328,3136046.0216,166996,2000/01/04 00:00:00+00,11:15,GMT,0.5,"New Pass; Sarasota; 30 mi off",27.1006,-83.0532,Karenia brevis,0,HABW000104-834
-9245439.9328,3136046.0216,166997,2000/01/04 00:00:00+00,11:18,GMT,20,"New Pass; Sarasota; 30 mi off",27.1006,-83.0532,Karenia brevis,0,HABW000104-835
-9245441.7139,3136046.0216,166998,2000/01/04 00:00:00+00,,,31,ECO30,27.1006,-83.053216,Karenia brevis,0,HABW000104-836
-9245441.7139,3136046.0216,166999,2000/01/04 00:00:00+00,,,1.1,ECO30,27.1006,-83.053216,Karenia brevis,0,HABW000104-837
-9237402.6655,3140185.7507,167000,2000/01/04 00:00:00+00,12:00,GMT,0.5,"New Pass; Sarasota; 25 mi; post-May 1998",27.1337,-82.981,Karenia brevis,0,HABW000104-838
-9237402.6655,3140185.7507,167001,2000/01/04 00:00:00+00,12:02,GMT,20,"New Pass; Sarasota; 25 mi; post-May 1998",27.1337,-82.981,Karenia brevis,0,HABW000104-839
-9237565.192,3139970.6047,167002,2000/01/04 00:00:00+00,,,0.8,ECO25,27.13198,-82.98246,Karenia brevis,0,HABW000104-840
-9237565.192,3139970.6047,167003,2000/01/04 00:00:00+00,,,26.3,ECO25,27.13198,-82.98246,Karenia brevis,0,HABW000104-841
-9229376.5302,3144351.7302,167004,2000/01/04 00:00:00+00,12:40,GMT,0.5,"New Pass; Sarasota; 20 mi; post-May 1998",27.167,-82.9089,Karenia brevis,0,HABW000104-842
-9229376.5302,3144351.7302,167005,2000/01/04 00:00:00+00,12:43,GMT,20,"New Pass; Sarasota; 20 mi; post-May 1998",27.167,-82.9089,Karenia brevis,0,HABW000104-843
-9229405.4733,3144255.3858,167006,2000/01/04 00:00:00+00,,,23.9,"Bird Keys; SW of",27.16623,-82.90916,Karenia brevis,0,HABW000104-844
-9229405.4733,3144255.3858,167007,2000/01/04 00:00:00+00,,,0.8,"Bird Keys; SW of",27.16623,-82.90916,Karenia brevis,0,HABW000104-845
-9221350.3949,3148518.9525,167008,2000/01/04 00:00:00+00,13:16,GMT,0.5,"New Pass; Sarasota; 15 mi; post-May 1998",27.2003,-82.8368,Karenia brevis,0,HABW000104-846
-9221350.3949,3148518.9525,167009,2000/01/04 00:00:00+00,13:18,GMT,20,"New Pass; Sarasota; 15 mi; post-May 1998",27.2003,-82.8368,Karenia brevis,0,HABW000104-847
-9221348.5025,3148523.0828,167010,2000/01/04 00:00:00+00,,,20.4,ECO15,27.200333,-82.836783,Karenia brevis,0,HABW000104-848
-9221348.5025,3148523.0828,167011,2000/01/04 00:00:00+00,,,0.7,ECO15,27.200333,-82.836783,Karenia brevis,0,HABW000104-849
-9213301.9958,3152687.4197,167012,2000/01/04 00:00:00+00,13:50,GMT,0.5,"New Pass; Sarasota; 10 mi; post-May 1998",27.2336,-82.7645,Karenia brevis,6000,HABW000104-850
-9213301.9958,3152687.4197,167013,2000/01/04 00:00:00+00,14:10,GMT,0.6,"New Pass; Sarasota; 10 mi; post-May 1998",27.2336,-82.7645,Karenia brevis,4000,HABW000104-851
-9213301.9958,3152687.4197,167014,2000/01/04 00:00:00+00,13:50,GMT,20,"New Pass; Sarasota; 10 mi; post-May 1998",27.2336,-82.7645,Karenia brevis,2000,HABW000104-852
-9213301.9958,3152687.4197,167015,2000/01/04 00:00:00+00,14:12,GMT,6.4,"New Pass; Sarasota; 10 mi; post-May 1998",27.2336,-82.7645,Karenia brevis,0,HABW000104-853
-9213437.8055,3152661.1281,167016,2000/01/04 00:00:00+00,,,14.2,"Siesta Key; W of",27.23339,-82.76572,Karenia brevis,2000,HABW000104-854
-9213437.8055,3152661.1281,167017,2000/01/04 00:00:00+00,,,0.6,"Siesta Key; W of",27.23339,-82.76572,Karenia brevis,6000,HABW000104-855
-9205301.464,3156804.5352,167018,2000/01/04 00:00:00+00,,,10.8,ECO05,27.26648,-82.69263,Karenia brevis,1000,HABW000104-856
-9205301.464,3156804.5352,167019,2000/01/04 00:00:00+00,,,0.7,ECO05,27.26648,-82.69263,Karenia brevis,8000,HABW000104-857
-9205264.7285,3156844.6104,167020,2000/01/04 00:00:00+00,14:38,GMT,0.5,"New Pass; Sarasota; 5 mi; post-May 1998",27.2668,-82.6923,Karenia brevis,8000,HABW000104-858
-9205264.7285,3156844.6104,167021,2000/01/04 00:00:00+00,14:40,GMT,20,"New Pass; Sarasota; 5 mi; post-May 1998",27.2668,-82.6923,Karenia brevis,1000,HABW000104-859
-9197216.3293,3161003.0429,167022,2000/01/04 00:00:00+00,15:03,GMT,0.5,"New Pass; Sarasota; 1 mi; post-May 1998",27.3,-82.62,Karenia brevis,0,HABW000104-860
-9197249.7252,3161014.3174,167023,2000/01/04 00:00:00+00,,,9.2,"Lido Key; SW of",27.30009,-82.6203,Karenia brevis,0,HABW000104-861
-9197249.7252,3161014.3174,167024,2000/01/04 00:00:00+00,,,0.6,"Lido Key; SW of",27.30009,-82.6203,Karenia brevis,0,HABW000104-862
-9097868.1366,2995779.3628,167025,2000/01/05 00:00:00+00,,,0.5,"Marco Pass; 1999 Station",25.97334,-81.72754,Karenia brevis,8000,HABW000105-801
-9100457.4279,2998523.6099,167026,2000/01/05 00:00:00+00,,,0.5,"Keewaydin isl; S end",25.9955,-81.7508,Karenia brevis,53300,HABW000105-802
-9631584.9824,3553934.7215,167027,2000/01/07 00:00:00+00,14:19,GMT,0.5,"Destin Bridge; under West end",30.3912,-86.522,Karenia brevis,1666,HABW000107-801
-9593012.7789,3554089.5854,167028,2000/01/07 00:00:00+00,12:53,GMT,0.5,"Clyde B. Wells Bridge; SW side of (Choctawhatchee Bay) ",30.3924,-86.1755,Karenia brevis,8670,HABW000107-802
-9620279.8202,3555984.6275,167029,2000/01/07 00:00:00+00,14:03,GMT,0.5,"Mid-Bay Bridge; E of (Choctawhatchee Bay) ",30.407083,-86.420444,Karenia brevis,1666,HABW000107-803
-9608322.3258,3558709.7906,167030,2000/01/07 00:00:00+00,14:48,GMT,0.5,"Fourmile Point; N of (Choctawhatchee Bay) ",30.428194,-86.313028,Karenia brevis,666,HABW000107-804
-9591284.2098,3559366.1588,167031,2000/01/07 00:00:00+00,13:00,GMT,0.5,"Bay Grove Road; W of (Choctawhatchee Bay) ",30.433278,-86.159972,Karenia brevis,9330,HABW000107-805
-9620394.2566,3560879.6543,167032,2000/01/07 00:00:00+00,13:53,GMT,0.5,"White Point; S of (Choctawhatchee Bay)",30.445,-86.421472,Karenia brevis,2333,HABW000107-806
-9610311.8277,3564573.1304,167033,2000/01/07 00:00:00+00,13:40,GMT,0.5,Grassy Cove (Choctawhatchee Bay) ,30.4736,-86.3309,Karenia brevis,1670,HABW000107-807
-9601547.3103,3565787.3069,167034,2000/01/07 00:00:00+00,13:24,GMT,0.5,"Basin Bayou; S of mouth (Choctawhatchee Bay) ",30.483,-86.252167,Karenia brevis,11700,HABW000107-808
-9106635.6597,3015393.0375,167035,2000/01/10 00:00:00+00,,,0.5,Naples Pier  ,26.13163,-81.8063,Karenia brevis,10300,HABW000110-801
-9107815.6463,3024778.6725,167036,2000/01/10 00:00:00+00,,,0.5,Seagate  ,26.2073,-81.8169,Karenia brevis,0,HABW000110-802
-9108580.4112,3030543.0625,167037,2000/01/10 00:00:00+00,,,0.5,Vanderbilt Beach ,26.25375,-81.82377,Karenia brevis,0,HABW000110-803
-9245441.7139,3136046.0216,167038,2000/01/10 00:00:00+00,,,32,ECO30,27.1006,-83.053216,Karenia brevis,0,HABW000110-804
-9245441.7139,3136046.0216,167039,2000/01/10 00:00:00+00,,,0.7,ECO30,27.1006,-83.053216,Karenia brevis,0,HABW000110-805
-9237565.192,3139970.6047,167040,2000/01/10 00:00:00+00,,,26.8,ECO25,27.13198,-82.98246,Karenia brevis,0,HABW000110-806
-9237565.192,3139970.6047,167041,2000/01/10 00:00:00+00,,,0.7,ECO25,27.13198,-82.98246,Karenia brevis,0,HABW000110-807
-9229405.4733,3144255.3858,167042,2000/01/10 00:00:00+00,,,23.3,"Bird Keys; SW of",27.16623,-82.90916,Karenia brevis,0,HABW000110-808
-9229405.4733,3144255.3858,167043,2000/01/10 00:00:00+00,,,0.7,"Bird Keys; SW of",27.16623,-82.90916,Karenia brevis,0,HABW000110-809
-9221348.5025,3148523.0828,167044,2000/01/10 00:00:00+00,,,19.2,ECO15,27.200333,-82.836783,Karenia brevis,0,HABW000110-810
-9221348.5025,3148523.0828,167045,2000/01/10 00:00:00+00,,,0.7,ECO15,27.200333,-82.836783,Karenia brevis,0,HABW000110-811
-9213437.8055,3152661.1281,167046,2000/01/10 00:00:00+00,,,14.8,"Siesta Key; W of",27.23339,-82.76572,Karenia brevis,0,HABW000110-812
-9213437.8055,3152661.1281,167047,2000/01/10 00:00:00+00,,,0.7,"Siesta Key; W of",27.23339,-82.76572,Karenia brevis,0,HABW000110-813
